problem,language,submission_id,source_file,status,return_code,total_findings,unused_findings,error_message
cutiile-magice,cpp,1314154420,cutiile-magice/1314154420.cpp,ok,0,0,0,
cutiile-magice,cpp,1314154422,cutiile-magice/1314154422.cpp,ok,0,0,0,
cutiile-magice,cpp,1314213343,cutiile-magice/1314213343.cpp,ok,0,0,0,
cutiile-magice,cpp,1314213373,cutiile-magice/1314213373.cpp,ok,0,0,0,
cutiile-magice,cpp,1314234678,cutiile-magice/1314234678.cpp,ok,0,3,1,
cutiile-magice,cpp,1314234701,cutiile-magice/1314234701.cpp,ok,0,2,0,
cutiile-magice,cpp,1314234755,cutiile-magice/1314234755.cpp,ok,0,2,0,
cutiile-magice,cpp,1314234762,cutiile-magice/1314234762.cpp,ok,0,0,0,
cutiile-magice,cpp,1314234918,cutiile-magice/1314234918.cpp,ok,0,4,2,
cutiile-magice,cpp,1314235710,cutiile-magice/1314235710.cpp,ok,0,0,0,
cutiile-magice,cpp,1314235851,cutiile-magice/1314235851.cpp,ok,0,5,0,
cutiile-magice,cpp,1314235966,cutiile-magice/1314235966.cpp,ok,0,0,0,
cutiile-magice,cpp,1314236035,cutiile-magice/1314236035.cpp,ok,0,0,0,
cutiile-magice,cpp,1314236043,cutiile-magice/1314236043.cpp,ok,0,6,1,
cutiile-magice,cpp,1314236059,cutiile-magice/1314236059.cpp,ok,0,2,1,
cutiile-magice,cpp,1314236116,cutiile-magice/1314236116.cpp,ok,0,0,0,
cutiile-magice,cpp,1314236136,cutiile-magice/1314236136.cpp,ok,0,0,0,
cutiile-magice,cpp,1314236185,cutiile-magice/1314236185.cpp,ok,0,0,0,
cutiile-magice,cpp,1314236211,cutiile-magice/1314236211.cpp,ok,0,0,0,
cutiile-magice,cpp,1314236215,cutiile-magice/1314236215.cpp,ok,0,0,0,
cutiile-magice,cpp,1314236243,cutiile-magice/1314236243.cpp,ok,0,0,0,
cutiile-magice,cpp,1314236255,cutiile-magice/1314236255.cpp,ok,0,8,1,
cutiile-magice,cpp,1314236272,cutiile-magice/1314236272.cpp,ok,0,7,0,
cutiile-magice,cpp,1314236292,cutiile-magice/1314236292.cpp,ok,0,0,0,
cutiile-magice,cpp,1314236329,cutiile-magice/1314236329.cpp,ok,0,0,0,
cutiile-magice,cpp,1314236419,cutiile-magice/1314236419.cpp,ok,0,0,0,
cutiile-magice,cpp,1314236453,cutiile-magice/1314236453.cpp,ok,0,0,0,
cutiile-magice,cpp,1314236490,cutiile-magice/1314236490.cpp,ok,0,0,0,
cutiile-magice,cpp,1314236626,cutiile-magice/1314236626.cpp,ok,0,0,0,
cutiile-magice,cpp,1314236649,cutiile-magice/1314236649.cpp,ok,0,1,1,
cutiile-magice,cpp,1314236669,cutiile-magice/1314236669.cpp,ok,0,3,1,
