submission_id,user_id,score,language,algorithm
1323073128,user_0097,50.0,cpp,PROBABILITY_DP
1361335320,user_0033,50.0,cpp,RECURSIVE_EXPECTATION
1359953979,user_0002,50.0,cpp,EXPECTATION_DP
1370578798,user_0135,50.0,cpp,EXPECTATION_DP
1391865112,user_0093,50.0,cpp,EXPECTATION_RECURRENCE
1332763768,user_0004,50.0,cpp,EXPECTATION_RECURRENCE
1332762969,user_0045,50.0,cpp,EXPECTATION_RECURRENCE
1323426563,user_0060,50.0,java,EXPECTATION_RECURRENCE
1314236668,user_0092,50.0,java,EXPECTATION_RECURRENCE
1332760961,user_0037,50.0,java,EXPECTATION_RECURRENCE
1378142650,user_0107,50.0,java,EXPECTATION_DP
1314236869,user_0082,50.0,java,EXPECTATION_DP
1314170331,user_0122,50.0,java,PROBABILITY_DP
1314237325,user_0126,50.0,java,EXPECTATION_RECURRENCE
1323427418,user_0006,50.0,java,PROBABILITY_DP
1323453896,user_0008,50.0,java,PROBABILITY_DP
