submission_id,user_id,score,language,predicted_algorithm
1314236523,user_0158,50.0,java,UNKNOWN
1314237177,user_0028,50.0,cpp,UNKNOWN
1344697187,user_0161,39.29,cpp,UNKNOWN
1391933787,user_0271,39.29,java,UNKNOWN
1323401607,user_0108,19.64,cpp,UNKNOWN
1314235577,user_0182,16.07,java,UNKNOWN
1361903196,user_0227,16.07,cpp,UNKNOWN
1378034785,user_0222,16.07,cpp,UNKNOWN
1314234951,user_0153,14.29,cpp,UNKNOWN
1314237409,user_0145,14.29,java,UNKNOWN
1323401347,user_0108,14.29,cpp,UNKNOWN
1332673197,user_0068,14.29,java,UNKNOWN
1344594910,user_0155,14.29,java,UNKNOWN
1344668157,user_0070,14.29,cpp,UNKNOWN
1378117387,user_0217,14.29,cpp,UNKNOWN
1378148490,user_0219,14.29,cpp,UNKNOWN
1378149143,user_0219,14.29,cpp,UNKNOWN
1378159507,user_0218,14.29,cpp,UNKNOWN
1378159510,user_0218,14.29,cpp,UNKNOWN
