"submission_id","user_id","score","language","algorithm","label_type","extraction_source","model","reasoning","model_output"
"1332376143","user_0009","50.0","java","SLIDING_WINDOW_MINIMUM_LINEAR_SCAN","manual","manual","manual","",""
"1332550515","user_0012","30.0","java","GREEDY_CHEAPEST_AVAILABLE_LINEAR_SCAN","manual","manual","manual","",""
"1332551583","user_0012","30.0","java","GREEDY_CHEAPEST_AVAILABLE_LINEAR_SCAN","manual","manual","manual","",""
"1332551689","user_0012","50.0","java","GREEDY_CHEAPEST_AVAILABLE_LINEAR_SCAN","manual","manual","manual","",""
"1314236642","user_0021","50.0","java","GREEDY_NEXT_CHEAPER_LINEAR_SCAN","manual","manual","manual","",""
"1391907728","user_0023","35.0","cpp","GREEDY_CHEAPEST_AVAILABLE_INCREMENTAL_TRACKING","manual","manual","manual","",""
"1323455889","user_0025","50.0","cpp","SLIDING_WINDOW_MINIMUM_LINEAR_SCAN","manual","manual","manual","",""
"1323453404","user_0028","30.0","java","GREEDY_CHEAPEST_AVAILABLE_INCREMENTAL_TRACKING","manual","manual","manual","",""
"1323453456","user_0028","30.0","java","GREEDY_CHEAPEST_AVAILABLE_INCREMENTAL_TRACKING","manual","manual","manual","",""
"1323453484","user_0028","30.0","java","GREEDY_CHEAPEST_AVAILABLE_INCREMENTAL_TRACKING","manual","manual","manual","",""
"1323453822","user_0028","30.0","java","GREEDY_CHEAPEST_AVAILABLE_INCREMENTAL_TRACKING","manual","manual","manual","",""
"1342820740","user_0038","50.0","cpp","GREEDY_NEXT_CHEAPER_LINEAR_SCAN","manual","manual","manual","",""
"1323451990","user_0048","50.0","java","GREEDY_NEXT_CHEAPER_LINEAR_SCAN","manual","manual","manual","",""
"1314235002","user_0061","50.0","java","GREEDY_NEXT_CHEAPER_LINEAR_SCAN","manual","manual","manual","",""
"1408421101","user_0073","50.0","cpp","SLIDING_WINDOW_MINIMUM_LINEAR_SCAN","manual","manual","manual","",""
"1314237306","user_0107","32.5","java","GREEDY_CHEAPEST_AVAILABLE_INCREMENTAL_TRACKING","manual","manual","manual","",""
"1391830924","user_0157","50.0","java","GREEDY_NEXT_CHEAPER_LINEAR_SCAN","manual","manual","manual","",""
"1314236597","user_0167","30.0","java","GREEDY_SORTED_PRICE_RANGE_COVERAGE","manual","manual","manual","",""
