submission_id,file,language,score,model_prediction,final_algorithm,decision_source,probability,second_algorithm,second_probability,margin,p_MANHATTAN_SCAN,p_ROW_BOUNDS_SCAN,p_BFS_RADIUS,p_DFS_RADIUS,p_SORTED_MANHATTAN,p_RING_SCAN,p_BOUNDING_BOX_SCAN,p_DP_RADIUS,p_UNKNOWN,p_GREEDY_NEIGHBOR_WALK
1314154354,matei-si-diamantele/submissions/1314154354.cpp,cpp,50.0,MANHATTAN_SCAN,MANHATTAN_SCAN,probability_model,0.6171875,BOUNDING_BOX_SCAN,0.330078125,0.287109375,0.6171875,0.039306640625,0.0028533935546875,0.001434326171875,0.00173187255859375,0.00469970703125,0.330078125,0.002685546875,0.00052642822265625,
1314184660,matei-si-diamantele/submissions/1314184660.java,java,50.0,MANHATTAN_SCAN,MANHATTAN_SCAN,probability_model,0.765625,ROW_BOUNDS_SCAN,0.11767578125,0.64794921875,0.765625,0.11767578125,0.005157470703125,0.00130462646484375,0.0015716552734375,0.043212890625,0.06298828125,0.002288818359375,0.0001373291015625,
1314234360,matei-si-diamantele/submissions/1314234360.cpp,cpp,50.0,MANHATTAN_SCAN,MANHATTAN_SCAN,probability_model,0.90234375,ROW_BOUNDS_SCAN,0.044921875,0.857421875,0.90234375,0.044921875,0.001739501953125,0.000682830810546875,0.000823974609375,0.0078125,0.039794921875,0.001129150390625,0.0001430511474609375,
1314234384,matei-si-diamantele/submissions/1314234384.cpp,cpp,50.0,MANHATTAN_SCAN,MANHATTAN_SCAN,manual_gold_or_review,0.875,BOUNDING_BOX_SCAN,0.055908203125,0.819091796875,0.875,0.030029296875,0.0031585693359375,0.00191497802734375,0.0031585693359375,0.0264892578125,0.055908203125,0.0027923583984375,0.00031280517578125,
1314234411,matei-si-diamantele/submissions/1314234411.cpp,cpp,50.0,MANHATTAN_SCAN,MANHATTAN_SCAN,probability_model,0.88671875,BOUNDING_BOX_SCAN,0.056640625,0.830078125,0.88671875,0.038818359375,0.0036163330078125,0.0013275146484375,0.001708984375,0.01116943359375,0.056640625,0.000972747802734375,0.0002460479736328125,
1314234433,matei-si-diamantele/submissions/1314234433.java,java,50.0,MANHATTAN_SCAN,MANHATTAN_SCAN,manual_gold_or_review,0.478515625,BOUNDING_BOX_SCAN,0.478515625,0.0,0.478515625,0.03466796875,0.0022125244140625,0.00098419189453125,0.0011138916015625,0.0022125244140625,0.478515625,0.002838134765625,0.0004100799560546875,
1314234451,matei-si-diamantele/submissions/1314234451.cpp,cpp,50.0,MANHATTAN_SCAN,MANHATTAN_SCAN,manual_gold_or_review,0.91015625,BOUNDING_BOX_SCAN,0.0400390625,0.8701171875,0.91015625,0.035400390625,0.001373291015625,0.000606536865234375,0.000690460205078125,0.0089111328125,0.0400390625,0.000885009765625,0.0001277923583984375,
1314234466,matei-si-diamantele/submissions/1314234466.java,java,50.0,MANHATTAN_SCAN,MANHATTAN_SCAN,probability_model,0.85546875,ROW_BOUNDS_SCAN,0.0703125,0.78515625,0.85546875,0.0703125,0.00225830078125,0.001068115234375,0.00128936767578125,0.005767822265625,0.06201171875,0.0021209716796875,0.00015354156494140625,
1314234491,matei-si-diamantele/submissions/1314234491.cpp,cpp,50.0,BFS_RADIUS,BFS_RADIUS,probability_model,0.96484375,DFS_RADIUS,0.022705078125,0.942138671875,0.000827789306640625,0.002716064453125,0.96484375,0.022705078125,0.0014495849609375,0.00506591796875,0.000827789306640625,0.00022220611572265625,0.0003452301025390625,
1314234542,matei-si-diamantele/submissions/1314234542.java,java,14.29,DFS_RADIUS,DFS_RADIUS,probability_model,0.78515625,RING_SCAN,0.09375,0.69140625,0.002349853515625,0.014404296875,0.0732421875,0.78515625,0.016357421875,0.09375,0.006805419921875,0.006378173828125,0.00171661376953125,
