group_id,problem,language,user,score,kept_submission_id,kept_timestamp,removed_submission_id,removed_timestamp,jplag_similarity,same_user,same_score,approved_for_removal,reason
group_00001,cutiile-magice,cpp,user_0009,2.78,1323431099,521766,1323431291,521781,1.0,True,True,False,"JPlag AVG 100%, same user, same score"
group_00002,cutiile-magice,cpp,user_0009,50.0,1323431865,521848,1323431878,521849,1.0,True,True,False,"JPlag AVG 100%, same user, same score"
group_00003,cutiile-magice,cpp,user_0015,2.78,1323431350,521788,1323431415,521795,1.0,True,True,False,"JPlag AVG 100%, same user, same score"
group_00004,cutiile-magice,cpp,user_0020,50.0,1314237078,145,1314237111,147,1.0,True,True,False,"JPlag AVG 100%, same user, same score"
group_00004,cutiile-magice,cpp,user_0020,50.0,1314237078,145,1314237121,148,1.0,True,True,False,"JPlag AVG 100%, same user, same score"
group_00005,cutiile-magice,cpp,user_0031,5.56,1344729743,1586135,1344729748,1586137,1.0,True,True,False,"JPlag AVG 100%, same user, same score"
group_00005,cutiile-magice,cpp,user_0031,5.56,1344729743,1586135,1344729753,1586140,1.0,True,True,False,"JPlag AVG 100%, same user, same score"
group_00005,cutiile-magice,cpp,user_0031,5.56,1344729743,1586135,1344729754,1586140,1.0,True,True,False,"JPlag AVG 100%, same user, same score"
group_00005,cutiile-magice,cpp,user_0031,5.56,1344729743,1586135,1344729756,1586142,1.0,True,True,False,"JPlag AVG 100%, same user, same score"
group_00006,cutiile-magice,cpp,user_0031,8.33,1344729739,1586134,1344729751,1586139,1.0,True,True,False,"JPlag AVG 100%, same user, same score"
group_00007,cutiile-magice,cpp,user_0043,2.78,1314235851,69,1314235906,72,1.0,True,True,False,"JPlag AVG 100%, same user, same score"
group_00008,cutiile-magice,cpp,user_0043,2.78,1314236043,80,1314236112,85,1.0,True,True,False,"JPlag AVG 100%, same user, same score"
group_00009,cutiile-magice,cpp,user_0049,2.78,1323410372,521016,1323410467,521019,1.0,True,True,False,"JPlag AVG 100%, same user, same score"
group_00010,cutiile-magice,cpp,user_0081,5.56,1314237617,172,1314237661,174,1.0,True,True,False,"JPlag AVG 100%, same user, same score"
group_00010,cutiile-magice,cpp,user_0081,5.56,1314237617,172,1314237698,176,1.0,True,True,False,"JPlag AVG 100%, same user, same score"
group_00011,cutiile-magice,cpp,user_0087,2.78,1314234701,24,1314234716,25,1.0,True,True,False,"JPlag AVG 100%, same user, same score"
group_00012,cutiile-magice,cpp,user_0087,2.78,1332595217,1021571,1332595239,1021575,1.0,True,True,False,"JPlag AVG 100%, same user, same score"
group_00013,cutiile-magice,cpp,user_0087,8.33,1314236136,86,1314236146,87,1.0,True,True,False,"JPlag AVG 100%, same user, same score"
group_00013,cutiile-magice,cpp,user_0087,8.33,1314236136,86,1314236156,88,1.0,True,True,False,"JPlag AVG 100%, same user, same score"
group_00014,cutiile-magice,cpp,user_0087,8.33,1314236738,125,1314236792,129,1.0,True,True,False,"JPlag AVG 100%, same user, same score"
group_00014,cutiile-magice,cpp,user_0087,8.33,1314236738,125,1314236983,140,1.0,True,True,False,"JPlag AVG 100%, same user, same score"
group_00015,cutiile-magice,cpp,user_0087,33.33,1314236211,92,1314236228,93,1.0,True,True,False,"JPlag AVG 100%, same user, same score"
group_00016,cutiile-magice,cpp,user_0089,2.78,1314237139,149,1314237269,155,1.0,True,True,False,"JPlag AVG 100%, same user, same score"
group_00017,cutiile-magice,cpp,user_0096,5.56,1332719663,1025794,1332719678,1025796,1.0,True,True,False,"JPlag AVG 100%, same user, same score"
group_00018,cutiile-magice,cpp,user_0102,2.78,1314237197,152,1314237369,160,1.0,True,True,False,"JPlag AVG 100%, same user, same score"
group_00019,cutiile-magice,cpp,user_0111,50.0,1332763109,1027228,1332763114,1027228,1.0,True,True,False,"JPlag AVG 100%, same user, same score"
group_00020,cutiile-magice,cpp,user_0125,2.78,1314213343,-2166,1314213352,-2164,1.0,True,True,False,"JPlag AVG 100%, same user, same score"
group_00020,cutiile-magice,cpp,user_0125,2.78,1314213343,-2166,1314213388,-2155,1.0,True,True,False,"JPlag AVG 100%, same user, same score"
group_00021,cutiile-magice,cpp,user_0125,50.0,1314213373,-2158,1314213401,-2152,1.0,True,True,False,"JPlag AVG 100%, same user, same score"
group_00022,cutiile-magice,cpp,user_0128,50.0,1314236720,124,1314236739,125,1.0,True,True,False,"JPlag AVG 100%, same user, same score"
group_00023,cutiile-magice,cpp,user_0135,27.78,1370576009,2376505,1370576016,2376506,1.0,True,True,False,"JPlag AVG 100%, same user, same score"
group_00023,cutiile-magice,cpp,user_0135,27.78,1370576009,2376505,1370576093,2376510,1.0,True,True,False,"JPlag AVG 100%, same user, same score"
