submission_id,user_id,score,language,algorithm
1370607065,user_0287,50.0,cpp,MANHATTAN_SCAN
1344626355,user_0096,50.0,cpp,MANHATTAN_SCAN
1314234451,user_0071,50.0,cpp,MANHATTAN_SCAN
1344373888,user_0259,50.0,cpp,MANHATTAN_SCAN
1314234384,user_0289,50.0,cpp,MANHATTAN_SCAN
1332550913,user_0074,50.0,cpp,MANHATTAN_SCAN
1323422331,user_0110,50.0,java,MANHATTAN_SCAN
1391907417,user_0163,50.0,java,MANHATTAN_SCAN
1323366910,user_0109,50.0,java,MANHATTAN_SCAN
1391817300,user_0268,50.0,java,BFS_RADIUS
1391995049,user_0236,50.0,java,ROW_BOUNDS_SCAN
1314234433,user_0231,50.0,java,MANHATTAN_SCAN
