submission_id,user_id,score,language,algorithm
1370607065,user_0287,50.0,cpp,MANHATTAN_SCAN
1344626355,user_0096,50.0,cpp,MANHATTAN_SCAN
1314234451,user_0071,50.0,cpp,MANHATTAN_SCAN
1344373888,user_0259,50.0,cpp,MANHATTAN_SCAN
1314234384,user_0289,50.0,cpp,MANHATTAN_SCAN
1332550913,user_0074,50.0,cpp,MANHATTAN_SCAN
1323422331,user_0110,50.0,java,MANHATTAN_SCAN
1391907417,user_0163,50.0,java,MANHATTAN_SCAN
1323366910,user_0109,50.0,java,MANHATTAN_SCAN
1391817300,user_0268,50.0,java,BFS_RADIUS
1391995049,user_0236,50.0,java,ROW_BOUNDS_SCAN
1314234433,user_0231,50.0,java,MANHATTAN_SCAN
1314234951,user_0153,14.29,cpp,DFS_RADIUS
1314237409,user_0145,14.29,java,RING_SCAN
1323401347,user_0108,14.29,cpp,DFS_RADIUS
1332673197,user_0068,14.29,java,BOUNDING_BOX_SCAN
1344594910,user_0155,14.29,java,BOUNDING_BOX_SCAN
1344668157,user_0070,14.29,cpp,DFS_RADIUS
1378117387,user_0217,14.29,cpp,DFS_RADIUS
1378148490,user_0219,14.29,cpp,DFS_RADIUS
1378149143,user_0219,14.29,cpp,DFS_RADIUS
1378159507,user_0218,14.29,cpp,DFS_RADIUS
1378159510,user_0218,14.29,cpp,DFS_RADIUS
1314235577,user_0182,16.07,java,BOUNDING_BOX_SCAN
1361903196,user_0227,16.07,cpp,DFS_RADIUS
1378034785,user_0222,16.07,cpp,DFS_RADIUS
1323401607,user_0108,19.64,cpp,DFS_RADIUS
1344697187,user_0161,39.29,cpp,RING_SCAN
1391933787,user_0271,39.29,java,RING_SCAN
1314236523,user_0158,50.0,java,SORTED_MANHATTAN
1314237177,user_0028,50.0,cpp,SORTED_MANHATTAN
