submission_id,user_id,score,language,algorithm
1323450093,user_0315,50.0,java,FREQUENCY_COUNT_EXPLICIT_WILDCARD_MATCHING
1391828014,user_0313,50.0,java,FREQUENCY_COUNT_EXPLICIT_WILDCARD_MATCHING
1391858690,user_0320,50.0,java,FREQUENCY_COUNT_EXPLICIT_WILDCARD_MATCHING
1314237442,user_0065,50.0,java,FREQUENCY_COUNT_AGGREGATE_STAR_FORMULA
1314237487,user_0065,50.0,java,FREQUENCY_COUNT_AGGREGATE_STAR_FORMULA
1314235546,user_0044,50.0,java,FREQUENCY_COUNT_EXPLICIT_WILDCARD_MATCHING
1391906829,user_0087,50.0,cpp,FREQUENCY_COUNT_EXPLICIT_WILDCARD_MATCHING
1323450668,user_0053,50.0,cpp,FREQUENCY_COUNT_AGGREGATE_STAR_FORMULA
1391863458,user_0235,50.0,cpp,FREQUENCY_COUNT_EXPLICIT_WILDCARD_MATCHING
1332720240,user_0278,50.0,cpp,FREQUENCY_COUNT_EXPLICIT_WILDCARD_MATCHING
1332720232,user_0278,50.0,cpp,FREQUENCY_COUNT_EXPLICIT_WILDCARD_MATCHING
1359946327,user_0003,50.0,cpp,FREQUENCY_COUNT_EXPLICIT_WILDCARD_MATCHING
1332737782,user_0253,50.0,cpp,FREQUENCY_COUNT_AGGREGATE_STAR_FORMULA
1344634312,user_0258,50.0,cpp,FREQUENCY_COUNT_AGGREGATE_STAR_FORMULA
1332753477,user_0104,50.0,cpp,FREQUENCY_COUNT_AGGREGATE_STAR_FORMULA
1314237479,user_0164,27.08,cpp,SORT_BINARY_SEARCH_MATCHING
1323425291,user_0043,2.08,cpp,SORT_ADJACENT_PAIRING
