"submission_id","user_id","attempt_number","score","result","language","file","cluster","centroid_similarity","selection_role","function","algorithm","implementation_type","confidence","notes","annotation_round"
"1333787279","user_0016","1","50.0","Accepted","cpp","1333787279.cpp","0","0.98587304353714","prototype","Check whether the directed graph has a unique topological ordering","DFS-based topological sort + uniqueness check","Adjacency list + recursive DFS + stack for topological sorting; then checks whether every consecutive pair in the topological order has a direct edge","high","Uses recursive DFS in topsort(), marks visited nodes and pushes each node onto a stack after visiting its neighbours, which is the standard DFS-based topological sort. After obtaining the ordering, it checks every consecutive pair of vertices for a direct edge. In a DAG, this is used to determine whether the topological ordering is unique. The unordered_set is used to find a possible zero-indegree starting vertex.","1"
"1344629085","user_0044","1","50.0","Accepted","cpp","1344629085.cpp","0","0.8295390009880066","diverse","Check whether the directed graph has a unique topological ordering","DFS-based topological sort + uniqueness check","Adjacency list + recursive DFS with postorder finishing times + hash sets for checking direct edges between consecutive vertices in the topological order","high","Runs recursive DFS from every unvisited vertex and stores each vertex when its DFS finishes, producing a reverse topological order through postorder finishing times. It then checks whether every consecutive pair in the resulting topological ordering is connected by a direct edge. This is the standard criterion for a unique topological ordering in a DAG. unordered_set is used to make the consecutive-edge checks efficient.","1"
"1314236741","user_0003","2","50.0","Accepted","java","1314236741.java","1","0.987519145011902","prototype","Check whether the directed graph has a unique topological ordering","Kahn's algorithm for topological sorting + uniqueness check","Adjacency list + indegree array + FIFO queue; uniqueness is checked by requiring exactly one zero-indegree vertex to be available at every step","high","Computes the indegree of every vertex, inserts all zero-indegree vertices into a queue, and repeatedly removes one vertex while decreasing the indegrees of its neighbours. A neighbour is added when its indegree becomes zero. If the queue contains more than one vertex at any stage, there are multiple possible topological orders, so the solution outputs 0. Otherwise it outputs 1. This is Kahn's topological sorting algorithm with a uniqueness check.","1"
"1323374677","user_0026","2","50.0","Accepted","java","1323374677.java","1","0.9394521713256836","diverse","Check whether the directed graph has a unique topological ordering","Kahn's algorithm for topological sorting + uniqueness check","Adjacency list + indegree array + LIFO stack for zero-indegree vertices + consecutive-edge uniqueness check","high","Computes the indegree of every vertex and repeatedly removes a zero-indegree vertex, decreasing the indegrees of its neighbours and adding newly zero-indegree vertices to a stack. This is an indegree-based Kahn topological sort, using a LIFO stack instead of a FIFO queue. After building one topological ordering, it checks whether every pair of consecutive vertices has a direct edge; this is used to determine whether the topological ordering is unique.","1"
"1314168969","user_0047","1","50.0","Accepted","java","1314168969.java","2","1.0014309883117676","prototype","Check whether the directed graph has a unique topological ordering","Kahn's algorithm for topological sorting + uniqueness check","Adjacency list + indegree array + list used as a FIFO queue for zero-indegree vertices + consecutive-edge uniqueness check","high","Explicitly implements Kahn's algorithm: computes indegrees, collects all zero-indegree vertices, repeatedly removes one available vertex, decreases the indegrees of its neighbours, and adds newly zero-indegree vertices. If a cycle remains, the topological order is cleared. After obtaining a topological ordering, it checks whether every consecutive pair has a direct edge; this is used to determine whether the topological ordering is unique.","1"
"1314222956","user_0053","7","50.0","Accepted","java","1314222956.java","2","1.0014309883117676","diverse","Check whether the directed graph has a unique topological ordering","Kahn's algorithm for topological sorting + uniqueness check","Adjacency list + indegree array + ArrayList used as a FIFO queue for zero-indegree vertices + consecutive-edge uniqueness check","high","Uses Kahn's indegree-based topological sorting. All zero-indegree vertices are inserted into a list, vertices are repeatedly removed from the front, and the indegrees of their neighbours are decreased. Newly zero-indegree vertices are added to the list. After computing a topological ordering, the code checks whether every consecutive pair has a direct edge, which is used to determine whether the topological ordering is unique.","1"
"1314235802","user_0056","1","50.0","Accepted","cpp","1314235802.cpp","0","0.951438307762146","round2_farthest_first","Check whether the directed graph has a unique topological ordering","DFS-based topological sort + uniqueness check","Recursive DFS + postorder finishing sequence + map-based adjacency representation + consecutive-edge uniqueness check","high","Performs recursive DFS from every vertex and stores each vertex in T after all of its outgoing neighbours have been visited, producing the reverse of a topological ordering. It then checks whether every consecutive pair in the resulting topological order has a direct edge. If any such edge is missing, the topological ordering is not unique. The graph is represented using map<int, bool> adjacency containers.","2"
"1323431344","user_0031","1","50.0","Accepted","cpp","1323431344.cpp","0","0.9236650466918944","round2_farthest_first","Check whether the directed graph has a unique topological ordering","DFS-based topological sort + uniqueness check","Recursive DFS with discovery/finish timestamps + sorting vertices by decreasing finish time + adjacency-list consecutive-edge uniqueness check","high","Runs recursive DFS and records discovery and finish times for each vertex. After DFS, vertices are sorted in decreasing order of finish time to obtain a topological ordering. The code then checks whether every consecutive pair in that ordering is connected by a direct edge. If a consecutive edge is missing, it outputs 0; otherwise it outputs 1. This is a DFS-based topological sort with a uniqueness check.","2"
"1344573200","user_0024","1","50.0","Accepted","cpp","1344573200.cpp","0","0.956409215927124","round2_farthest_first","Check whether the directed graph has a unique topological ordering","Kahn's algorithm for topological sorting + uniqueness check","Adjacency list + indegree counts stored in an unordered_map + FIFO queue of zero-indegree vertices + branching-based uniqueness check","high","Uses Kahn's indegree-based topological sorting. It computes incoming-edge counts, initializes a FIFO queue with zero-indegree vertices, repeatedly removes a vertex and decreases the indegrees of its neighbours, and enqueues neighbours when their indegree becomes zero. It attempts to detect non-unique topological orderings by checking for multiple initially available vertices and multiple newly available children.","2"
"1314186184","user_0023","1","50.0","Accepted","cpp","1314186184.cpp","0","0.9565935134887696","round2_farthest_first","Check whether the directed graph has a unique topological ordering","DFS-based topological sort + uniqueness check","Recursive DFS + postorder vector (reverse topological order) + adjacency-list consecutive-edge uniqueness check","high","Performs recursive DFS from every unvisited vertex and appends each vertex to a vector after visiting all of its outgoing neighbours, producing a reverse topological order. It then checks whether every consecutive pair in the corresponding topological ordering has a direct edge. If such an edge is missing, it returns 0; otherwise it returns 1.","2"
"1391186585","user_0020","1","50.0","Accepted","cpp","1391186585.cpp","0","0.9687094688415528","round2_farthest_first","Check whether the directed graph has a unique topological ordering","Kahn's algorithm for topological sorting + uniqueness check","Adjacency list + indegree array + FIFO queue of zero-indegree vertices + queue-size uniqueness check","high","Uses Kahn's indegree-based topological sorting. All zero-indegree vertices are inserted into a FIFO queue. At each step, the algorithm requires the queue to contain exactly one available vertex; if more than one zero-indegree vertex is available, the topological ordering is not unique. It then removes the unique vertex, decreases the indegrees of its neighbours, and enqueues newly zero-indegree vertices. The final processed_nodes == N check also ensures that all vertices were processed and no cycle prevented a complete topological ordering.","2"
"1378139766","user_0039","1","50.0","Accepted","cpp","1378139766.cpp","0","0.9606629014015198","round2_farthest_first","Check whether the directed graph has a unique topological ordering","DFS-based topological sort + uniqueness check","Recursive DFS + postorder vector used as a stack + consecutive-edge uniqueness check","high","Performs recursive DFS from every unvisited vertex and appends each vertex to sol after all of its outgoing neighbours have been visited, producing a reverse topological order. It then repeatedly removes vertices from the back of sol to traverse the topological order and checks whether every consecutive pair has a direct edge. If any consecutive edge is missing, it outputs 0; otherwise it outputs 1.","2"
"1378138561","user_0040","1","50.0","Accepted","java","1378138561.java","1","0.94509357213974","round2_farthest_first","Check whether the directed graph has a unique topological ordering","Kahn's algorithm for topological sorting + uniqueness check","Adjacency list + indegree array + FIFO queue + queue-size uniqueness check","high","Computes the indegree of every vertex, inserts all zero-indegree vertices into a FIFO queue, and repeatedly removes one vertex while decreasing the indegrees of its neighbours. If at any step the queue contains more than one zero-indegree vertex, there is more than one possible topological ordering, so the code returns 0. Otherwise it continues until the queue becomes empty and returns 1.","2"
"1333788831","user_0017","1","50.0","Accepted","java","1333788831.java","1","0.9848366379737854","round2_farthest_first","Check whether the directed graph has a unique topological ordering","Kahn's algorithm for topological sorting + uniqueness check","Indegree array + FIFO queue + queue-size uniqueness check; adjacency list stores both directions of each input edge","high","The intended algorithm is Kahn's indegree-based topological sorting. It computes indegrees, initializes a FIFO queue with zero-indegree vertices, repeatedly removes the unique available vertex, decreases neighbour indegrees, and returns 0 whenever more than one zero-indegree vertex becomes available.

However, the graph construction is unusual/inconsistent: for an input edge x -> y, the code stores both adj[x].add(y) and adj[y].add(x), while only incrementing inDegree[y]. Thus the adjacency representation is effectively bidirectional although the indegree information remains directed. Despite this implementation issue, the intended algorithm is clearly Kahn's algorithm with a uniqueness check.","2"
