submission_id,file,language,score,algorithm,gold_source
1314213226,gigel-si-raspandirea-vestilor/submissions/1314213226.cpp,cpp,50.0,BFS_DISTANCE_ARRAY,original_gold
1314234521,gigel-si-raspandirea-vestilor/submissions/1314234521.java,java,50.0,BFS_EXPLICIT_TIME_IN_QUEUE,original_gold
1314235627,gigel-si-raspandirea-vestilor/submissions/1314235627.cpp,cpp,50.0,BFS_EXPLICIT_TIME_IN_QUEUE,fullscore_manual_review
1314235879,gigel-si-raspandirea-vestilor/submissions/1314235879.java,java,50.0,BFS_DISTANCE_ARRAY,original_gold
1314235968,gigel-si-raspandirea-vestilor/submissions/1314235968.java,java,50.0,DIJKSTRA_UNIT_WEIGHT,original_gold
1314236195,gigel-si-raspandirea-vestilor/submissions/1314236195.cpp,cpp,50.0,BFS_LEVEL_ORDER_TIMER,fullscore_manual_review
1314238913,gigel-si-raspandirea-vestilor/submissions/1314238913.java,java,50.0,BFS_DISTANCE_ARRAY,original_gold
1323072209,gigel-si-raspandirea-vestilor/submissions/1323072209.cpp,cpp,50.0,BFS_DISTANCE_ARRAY,fullscore_manual_review
1378090891,gigel-si-raspandirea-vestilor/submissions/1378090891.cpp,cpp,50.0,BFS_DISTANCE_ARRAY,original_gold
1378096692,gigel-si-raspandirea-vestilor/submissions/1378096692.java,java,50.0,BFS_DISTANCE_ARRAY,original_gold
1391779743,gigel-si-raspandirea-vestilor/submissions/1391779743.cpp,cpp,50.0,BFS_LEVEL_ORDER_TIMER,fullscore_manual_review
1391827266,gigel-si-raspandirea-vestilor/submissions/1391827266.cpp,cpp,50.0,BFS_DISTANCE_ARRAY,fullscore_manual_review
1391862501,gigel-si-raspandirea-vestilor/submissions/1391862501.cpp,cpp,50.0,BFS_LEVEL_ORDER_TIMER,original_gold
1391862949,gigel-si-raspandirea-vestilor/submissions/1391862949.cpp,cpp,50.0,BFS_LEVEL_ORDER_TIMER,original_gold
1391903457,gigel-si-raspandirea-vestilor/submissions/1391903457.java,java,50.0,BFS_LEVEL_ORDER_TIMER,original_gold
1391987756,gigel-si-raspandirea-vestilor/submissions/1391987756.java,java,50.0,BFS_DISTANCE_ARRAY,fullscore_manual_review
1391989869,gigel-si-raspandirea-vestilor/submissions/1391989869.cpp,cpp,50.0,BFS_EXPLICIT_TIME_IN_QUEUE,fullscore_manual_review
1408417181,gigel-si-raspandirea-vestilor/submissions/1408417181.cpp,cpp,50.0,BFS_DISTANCE_ARRAY,original_gold
1408450878,gigel-si-raspandirea-vestilor/submissions/1408450878.cpp,cpp,50.0,BFS_DISTANCE_ARRAY,fullscore_manual_review
1408492735,gigel-si-raspandirea-vestilor/submissions/1408492735.cpp,cpp,50.0,BFS_LEVEL_ORDER_TIMER,original_gold
1408504541,gigel-si-raspandirea-vestilor/submissions/1408504541.cpp,cpp,50.0,BFS_LEVEL_ORDER_TIMER,fullscore_manual_review
1408561657,gigel-si-raspandirea-vestilor/submissions/1408561657.cpp,cpp,50.0,BFS_LEVEL_ORDER_TIMER,fullscore_manual_review
