submission_id,user_id,score,language,algorithm
1408417181,user_0333,50.0,cpp,BFS_DISTANCE_ARRAY
1378090891,user_0296,50.0,cpp,BFS_DISTANCE_ARRAY
1314213226,user_0402,50.0,cpp,BFS_DISTANCE_ARRAY
1391862501,user_0251,50.0,cpp,BFS_LEVEL_ORDER_TIMER
1408492735,user_0409,50.0,cpp,BFS_LEVEL_ORDER_TIMER
1391862949,user_0235,50.0,cpp,BFS_LEVEL_ORDER_TIMER
1314235879,user_0032,50.0,java,BFS_DISTANCE_ARRAY
1314234521,user_0205,50.0,java,BFS_EXPLICIT_TIME_IN_QUEUE
1314235968,user_0175,50.0,java,DIJKSTRA_UNIT_WEIGHT
1391903457,user_0282,50.0,java,BFS_LEVEL_ORDER_TIMER
1378096692,user_0287,50.0,java,BFS_DISTANCE_ARRAY
1314238913,user_0051,50.0,java,BFS_DISTANCE_ARRAY
