submission_id,user_id,attempt_number,score,result,language,file,cluster,centroid_similarity
1314158859,user_0053,3,50.0,Accepted,cpp,1314158859.cpp,0,0.9062179327011108
1314158862,user_0053,4,50.0,Accepted,cpp,1314158862.cpp,0,0.9314430952072144
1314168969,user_0047,1,50.0,Accepted,java,1314168969.java,2,1.0014309883117676
1314186184,user_0023,1,50.0,Accepted,cpp,1314186184.cpp,0,0.9565935134887695
1314222956,user_0053,7,50.0,Accepted,java,1314222956.java,2,1.0014309883117676
1314235802,user_0056,1,50.0,Accepted,cpp,1314235802.cpp,0,0.951438307762146
1314236741,user_0003,2,50.0,Accepted,java,1314236741.java,1,0.9875191450119019
1323374677,user_0026,2,50.0,Accepted,java,1323374677.java,1,0.9394521713256836
1323410048,user_0021,2,50.0,Accepted,cpp,1323410048.cpp,0,0.9558660984039307
1323414901,user_0028,1,50.0,Accepted,cpp,1323414901.cpp,0,0.9639419317245483
1323431344,user_0031,1,50.0,Accepted,cpp,1323431344.cpp,0,0.9236650466918945
1333777242,user_0004,1,50.0,Accepted,cpp,1333777242.cpp,0,0.9680994749069214
1333787279,user_0016,1,50.0,Accepted,cpp,1333787279.cpp,0,0.9858730435371399
1333788831,user_0017,1,50.0,Accepted,java,1333788831.java,1,0.9848366379737854
1333799188,user_0015,1,50.0,Accepted,cpp,1333799188.cpp,0,0.9795951843261719
1344573200,user_0024,1,50.0,Accepted,cpp,1344573200.cpp,0,0.956409215927124
1344629085,user_0044,1,50.0,Accepted,cpp,1344629085.cpp,0,0.8295390009880066
1344635351,user_0008,1,50.0,Accepted,cpp,1344635351.cpp,0,0.951438307762146
1359952643,user_0001,1,50.0,Accepted,cpp,1359952643.cpp,0,0.973760724067688
1360496791,user_0001,2,50.0,Accepted,cpp,1360496791.cpp,0,0.9796208143234253
1370607970,user_0055,1,50.0,Accepted,cpp,1370607970.cpp,0,0.9818915128707886
1378138561,user_0040,1,50.0,Accepted,java,1378138561.java,1,0.94509357213974
1378139766,user_0039,1,50.0,Accepted,cpp,1378139766.cpp,0,0.9606629014015198
1378150681,user_0042,1,50.0,Accepted,cpp,1378150681.cpp,0,0.9718015193939209
1378150766,user_0042,2,50.0,Accepted,cpp,1378150766.cpp,0,0.9727104306221008
1391186585,user_0020,1,50.0,Accepted,cpp,1391186585.cpp,0,0.9687094688415527
1391688758,user_0054,1,50.0,Accepted,cpp,1391688758.cpp,0,0.9750858545303345
1391740445,user_0051,1,50.0,Accepted,java,1391740445.java,1,0.9848775267601013
1391779888,user_0034,3,50.0,Accepted,cpp,1391779888.cpp,0,0.9786276817321777
1391831565,user_0050,1,50.0,Accepted,java,1391831565.java,1,0.9875191450119019
1391864553,user_0036,2,50.0,Accepted,cpp,1391864553.cpp,0,0.9765169024467468
1391864700,user_0033,2,50.0,Accepted,cpp,1391864700.cpp,0,0.9681440591812134
