submission_id,file,language,score,model_prediction,final_algorithm,decision_source,probability,second_algorithm,second_probability,margin,p_DFS_TOPOLOGICAL_ORDER_CHECK,p_KAHN_TOPOLOGICAL_ORDER_CHECK,p_DEGREE_BASED_HEURISTIC,p_UNKNOWN
1314236163,organizare-mafiota/submissions/1314236163.cpp,cpp,47.5,UNKNOWN,UNKNOWN,probability_model,0.55078125,DEGREE_BASED_HEURISTIC,0.427734375,0.123046875,0.0166015625,0.006103515625,0.427734375,0.55078125
1323450152,organizare-mafiota/submissions/1323450152.cpp,cpp,47.5,UNKNOWN,UNKNOWN,probability_model,0.7734375,DEGREE_BASED_HEURISTIC,0.15234375,0.62109375,0.0634765625,0.01104736328125,0.15234375,0.7734375
1391779860,organizare-mafiota/submissions/1391779860.cpp,cpp,45.0,UNKNOWN,UNKNOWN,probability_model,0.6484375,DEGREE_BASED_HEURISTIC,0.306640625,0.341796875,0.04150390625,0.00494384765625,0.306640625,0.6484375
1314184031,organizare-mafiota/submissions/1314184031.java,java,22.5,UNKNOWN,UNKNOWN,probability_model,0.6015625,DEGREE_BASED_HEURISTIC,0.322265625,0.279296875,0.055908203125,0.0206298828125,0.322265625,0.6015625
1323449824,organizare-mafiota/submissions/1323449824.cpp,cpp,15.0,UNKNOWN,UNKNOWN,probability_model,0.58984375,DEGREE_BASED_HEURISTIC,0.2451171875,0.3447265625,0.1484375,0.017822265625,0.2451171875,0.58984375
1391864462,organizare-mafiota/submissions/1391864462.cpp,cpp,15.0,UNKNOWN,UNKNOWN,probability_model,0.71484375,DEGREE_BASED_HEURISTIC,0.205078125,0.509765625,0.0751953125,0.005462646484375,0.205078125,0.71484375
1314237041,organizare-mafiota/submissions/1314237041.cpp,cpp,12.5,UNKNOWN,UNKNOWN,probability_model,0.51953125,DFS_TOPOLOGICAL_ORDER_CHECK,0.2451171875,0.2744140625,0.2451171875,0.0201416015625,0.2158203125,0.51953125
1314237143,organizare-mafiota/submissions/1314237143.cpp,cpp,12.5,UNKNOWN,UNKNOWN,probability_model,0.5625,DEGREE_BASED_HEURISTIC,0.30078125,0.26171875,0.125,0.01318359375,0.30078125,0.5625
1314237394,organizare-mafiota/submissions/1314237394.cpp,cpp,12.5,UNKNOWN,UNKNOWN,probability_model,0.50390625,DFS_TOPOLOGICAL_ORDER_CHECK,0.2373046875,0.2666015625,0.2373046875,0.0220947265625,0.2373046875,0.50390625
1314237440,organizare-mafiota/submissions/1314237440.java,java,12.5,UNKNOWN,UNKNOWN,probability_model,0.9296875,DFS_TOPOLOGICAL_ORDER_CHECK,0.046142578125,0.883544921875,0.046142578125,0.005523681640625,0.019287109375,0.9296875
1323078705,organizare-mafiota/submissions/1323078705.cpp,cpp,12.5,UNKNOWN,UNKNOWN,probability_model,0.7890625,DEGREE_BASED_HEURISTIC,0.1376953125,0.6513671875,0.057373046875,0.01446533203125,0.1376953125,0.7890625
1391831540,organizare-mafiota/submissions/1391831540.java,java,12.5,UNKNOWN,UNKNOWN,probability_model,0.470703125,DEGREE_BASED_HEURISTIC,0.416015625,0.0546875,0.10498046875,0.00762939453125,0.416015625,0.470703125
