submission_id,user_id,score,language,algorithm,label_type
1359952643,user_0001,50.0,cpp,UNKNOWN,ZERO_SHOT_7B
1360496791,user_0001,50.0,cpp,KAHN,ZERO_SHOT_7B
1314236741,user_0003,50.0,java,KAHN,MANUAL
1333777242,user_0004,50.0,cpp,KAHN,ZERO_SHOT_7B
1344635351,user_0008,50.0,cpp,UNKNOWN,ZERO_SHOT_7B
1333799188,user_0015,50.0,cpp,DFS_TOPOLOGICAL,ZERO_SHOT_7B
1333787279,user_0016,50.0,cpp,DFS_TOPOLOGICAL,MANUAL
1333788831,user_0017,50.0,java,KAHN,MANUAL
1391186585,user_0020,50.0,cpp,KAHN,MANUAL
1323410048,user_0021,50.0,cpp,DFS_TOPOLOGICAL,ZERO_SHOT_7B
1314186184,user_0023,50.0,cpp,DFS_TOPOLOGICAL,MANUAL
1344573200,user_0024,50.0,cpp,KAHN,MANUAL
1323374677,user_0026,50.0,java,KAHN,MANUAL
1323414901,user_0028,50.0,cpp,KAHN,ZERO_SHOT_7B
1323431344,user_0031,50.0,cpp,DFS_TOPOLOGICAL,MANUAL
1391864700,user_0033,50.0,cpp,KAHN,ZERO_SHOT_7B
1391779888,user_0034,50.0,cpp,UNKNOWN,ZERO_SHOT_7B
1391864553,user_0036,50.0,cpp,KAHN,ZERO_SHOT_7B
1378139766,user_0039,50.0,cpp,DFS_TOPOLOGICAL,MANUAL
1378138561,user_0040,50.0,java,KAHN,MANUAL
1378150681,user_0042,50.0,cpp,KAHN,ZERO_SHOT_7B
1378150766,user_0042,50.0,cpp,KAHN,ZERO_SHOT_7B
1344629085,user_0044,50.0,cpp,DFS_TOPOLOGICAL,MANUAL
1314168969,user_0047,50.0,java,KAHN,MANUAL
1391831565,user_0050,50.0,java,KAHN,ZERO_SHOT_7B
1391740445,user_0051,50.0,java,KAHN,ZERO_SHOT_7B
1314158859,user_0053,50.0,cpp,KAHN,ZERO_SHOT_7B
1314158862,user_0053,50.0,cpp,DFS_TOPOLOGICAL,ZERO_SHOT_7B
1314222956,user_0053,50.0,java,KAHN,MANUAL
1391688758,user_0054,50.0,cpp,KAHN,ZERO_SHOT_7B
1370607970,user_0055,50.0,cpp,KAHN,ZERO_SHOT_7B
1314235802,user_0056,50.0,cpp,DFS_TOPOLOGICAL,MANUAL
1314236204,user_0010,47.5,cpp,DEGREE_DFS_REACHABILITY,MANUAL
1314236379,user_0010,47.5,cpp,DEGREE_DFS_REACHABILITY,MANUAL
1314236788,user_0010,47.5,cpp,DEGREE_DFS_REACHABILITY,MANUAL
1314236920,user_0010,47.5,cpp,DEGREE_DFS_REACHABILITY,MANUAL
1314236163,user_0014,47.5,cpp,DEGREE_HEURISTIC,MANUAL
1314237580,user_0014,47.5,cpp,DEGREE_HEURISTIC,MANUAL
1314237062,user_0019,47.5,cpp,DEGREE_BFS_REACHABILITY,MANUAL
1323409209,user_0021,47.5,cpp,DEGREE_DFS_REACHABILITY,MANUAL
1323450152,user_0022,47.5,cpp,BIDIRECTIONAL_DFS_REACHABILITY,MANUAL
1391779874,user_0034,47.5,cpp,DEGREE_HEURISTIC,MANUAL
1333805821,user_0043,47.5,cpp,DEGREE_HEURISTIC,MANUAL
1314158851,user_0053,47.5,cpp,KAHN,MANUAL
1391779860,user_0034,45.0,cpp,DEGREE_HEURISTIC,MANUAL
1314158843,user_0053,45.0,cpp,KAHN,MANUAL
1314184304,user_0047,25.0,java,REPEATED_DFS_REACHABILITY,MANUAL
1314212329,user_0048,25.0,cpp,DFS_TRANSITIVE_CLOSURE,MANUAL
1314184031,user_0047,22.5,java,FLOYD_WARSHALL,MANUAL
